date,kospi_close,kospi_vol,kospi_var,kospi-50_close,kospi-50_vol,kospi-50_var,kosdaq_close,kosdaq_vol,kosdaq_var,us-30_close,us-30_vol,us-30_var,us-spx-500_close,us-spx-500_vol,us-spx-500_var,nasdaq-composite_close,nasdaq-composite_vol,nasdaq-composite_var,smallcap-2000_close,smallcap-2000_vol,smallcap-2000_var,volatility-s-p-500_close,volatility-s-p-500_vol,volatility-s-p-500_var,s-p-tsx-composite_close,s-p-tsx-composite_vol,s-p-tsx-composite_var,bovespa_close,bovespa_vol,bovespa_var,ipc_close,ipc_vol,ipc_var,germany-30_close,germany-30_vol,germany-30_var,uk-100_close,uk-100_vol,uk-100_var,france-40_close,france-40_vol,france-40_var,eu-stoxx50_close,eu-stoxx50_vol,eu-stoxx50_var,netherlands-25_close,netherlands-25_vol,netherlands-25_var,spain-35_close,spain-35_vol,spain-35_var,it-mib-40_close,it-mib-40_vol,it-mib-40_var,switzerland-20_close,switzerland-20_vol,switzerland-20_var,psi-20_close,psi-20_vol,psi-20_var,bel-20_close,bel-20_vol,bel-20_var,atx_close,atx_vol,atx_var,omx-stockholm-30_close,omx-stockholm-30_vol,omx-stockholm-30_var,mcx_close,mcx_vol,mcx_var,rtsi_close,rtsi_vol,rtsi_var,wig-20_close,wig-20_vol,wig-20_var,hungary-stock-market_close,hungary-stock-market_vol,hungary-stock-market_var,ise-100_close,ise-100_vol,ise-100_var,ta25_close,ta25_vol,ta25_var,tasi_close,tasi_vol,tasi_var,japan-ni225_close,japan-ni225_vol,japan-ni225_var,aus-200_close,aus-200_vol,aus-200_var,shanghai-composite_close,shanghai-composite_vol,shanghai-composite_var,szse-component_close,szse-component_vol,szse-component_var,ftse-china-a50_close,ftse-china-a50_vol,ftse-china-a50_var,dj-shanghai_close,dj-shanghai_vol,dj-shanghai_var,hang-sen-40_close,hang-sen-40_vol,hang-sen-40_var,taiwan-weighted_close,taiwan-weighted_vol,taiwan-weighted_var,thailand-set_close,thailand-set_vol,thailand-set_var,idx-composite_close,idx-composite_vol,idx-composite_var,s-p-cnx-nifty_close,s-p-cnx-nifty_vol,s-p-cnx-nifty_var,sensex_close,sensex_vol,sensex_var,vn-30_close,vn-30_vol,vn-30_var
2012-11-23,1911.33,329.95M,0.62,1648.88,24.22K,0.89,498.82,415.40K,0.36,13009.68,61.11M,1.35,1409.15,-,1.30,2966.85,182.64M,1.38,807.18,-,1.10,15.14,-,-1.11,12213.24,99.29M,0.49,57574,3.18M,2.01,41919.55,107.97M,-0.27,7309.13,104.51M,0.89,5819.14,427.50M,0.49,3528.80,187.97M,0.87,2557.03,40.86M,0.87,331.50,68.48M,1.16,7909.60,142.36M,0.43,15635.89,423.65M,0.53,6715.09,25.56M,0.54,5324.31,22.05M,0.08,2408.53,8.67M,0.65,,,,1071.78,74.72M,1.02,1413.15,-,0.75,1432.24,-,0.87,2398.39,23.35M,1.01,17869.58,-,0.69,710.04,462.43M,1.54,,,,,,,,,,4413.00,475.06M,-0.00,2027.38,5.16B,0.58,8114.74,326.80M,0.84,7036.22,-,0.90,,,,21913.98,1.34B,0.79,7326.01,2.26M,3.10,1281.70,5.68B,0.17,4348.81,3.18B,0.30,5626.60,85.08B,-0.02,18506.57,5.97K,-0.06,449.73,6.77K,-0.56
2012-11-22,1899.50,412.82M,0.82,1634.34,24.97K,1.15,497.03,474.46K,0.98,,,,,,,,,,,,,,,,12153.10,59.03M,0.44,56437,2.15M,0.35,42032.35,92.39M,0.87,7244.99,126.77M,0.84,5791.03,511.82M,0.68,3498.22,125.24M,0.60,2535.09,40.65M,0.61,327.70,58.99M,0.40,7875.60,137.98M,0.90,15553.62,355.44M,1.03,6679.11,27.60M,0.53,5319.83,26.92M,0.31,2393.02,11.68M,0.77,,,,1060.98,74.73M,0.70,1402.64,-,-0.22,1419.88,-,-0.08,2374.31,18.98M,-0.49,17747.81,-,-1.54,699.26,507.96M,-0.76,1211.03,93.87M,0.20,,,,9366.80,147.35K,1.56,4413.10,708.82M,1.00,2015.61,4.56B,-0.72,8047.52,306.70M,-1.27,6973.20,-,-0.56,,,,21743.20,1.45B,1.02,7105.76,1.17M,0.24,1279.51,5.05B,0.24,4335.93,3.57B,0.43,5627.75,94.06B,0.23,18517.34,6.11K,0.31,452.24,4.81K,-0.14
2012-11-21,1884.04,380.80M,-0.32,1615.83,28.31K,-0.19,492.19,411.31K,-0.90,12836.89,97.30M,0.38,1391.03,-,0.23,2926.55,287.91M,0.34,798.38,-,0.58,15.31,-,1.53,12100.06,146.58M,0.45,56242,3.59M,-0.37,41668.06,263.73M,1.18,7184.71,98.22M,0.16,5752.03,640.01M,0.07,3477.36,106.64M,0.44,2519.68,50.78M,0.40,326.41,80.06M,0.12,7805.40,129.04M,0.34,15394.62,585.05M,0.82,6643.70,33.95M,0.37,5303.24,86.78M,0.60,2374.83,13.65M,0.34,,,,1053.64,73.29M,-0.03,1405.70,-,0.67,1420.97,-,1.24,2385.95,20.97M,-0.79,18025.40,-,-0.18,704.61,639.32M,-0.25,1208.66,62.08M,0.31,6609.70,138.26M,-0.79,9222.52,134.73K,0.87,4369.50,617.77M,-0.37,2030.32,5.33B,1.07,8150.84,406.00M,1.22,7012.74,-,1.38,,,,21524.36,1.36B,1.39,7088.49,1.43M,-0.80,1276.39,4.51B,-0.00,4317.28,3.32B,0.11,5614.80,105.15B,0.78,18460.38,6.86K,0.72,452.87,8.54K,-0.49
2012-11-20,1890.18,372.35M,0.64,1618.90,26.70K,0.85,496.66,436.88K,0.71,12788.51,134.16M,-0.06,1387.81,-,0.07,2916.68,350.53M,0.02,793.81,-,0.28,15.08,-,-1.05,12046.28,164.43M,0.05,,,,41184.00,240.60M,0.87,7172.99,109.24M,0.69,5748.10,803.27M,0.18,3462.06,108.35M,0.65,2509.62,43.87M,0.58,326.02,73.89M,0.39,7778.70,122.78M,0.19,15269.99,492.17M,-0.25,6618.99,38.48M,-0.30,5271.77,103.58M,0.48,2366.74,9.46M,0.52,,,,1053.91,79.64M,0.24,1396.39,-,-0.16,1403.59,-,0.28,2404.88,29.13M,0.02,18057.86,-,-1.53,706.37,449.78M,0.04,1204.90,46.24M,-0.10,6662.04,158.39M,-0.07,9142.64,133.68K,-0.12,4385.70,644.86M,0.56,2008.92,4.26B,-0.40,8052.79,333.30M,-0.10,6917.00,-,-0.55,,,,21228.28,1.17B,-0.16,7145.77,1.23M,0.23,1276.41,4.35B,-0.56,4312.37,3.87B,-0.02,5571.55,107.48B,0.00,18329.32,6.64K,-0.05,455.10,9.24K,0.61
2012-11-19,1878.10,349.36M,0.93,1605.29,26.56K,0.85,493.14,397.81K,2.10,12795.96,136.91M,1.65,1386.89,-,1.99,2916.07,402.06M,2.21,791.62,-,1.98,15.24,-,-7.13,12040.40,139.72M,1.37,56451,2.78M,1.89,,,,7123.84,137.51M,2.49,5737.66,745.28M,2.36,3439.58,124.61M,2.93,2495.21,52.14M,2.80,324.74,94.59M,1.53,7763.80,180.51M,2.31,15308.96,534.69M,3.05,6638.89,39.44M,2.00,5246.80,95.81M,2.12,2354.54,12.36M,2.34,,,,1051.36,81.55M,2.37,1398.57,-,1.08,1399.70,-,1.71,2404.36,33.12M,1.55,18339.35,-,-0.42,706.07,639.67M,-0.26,1206.13,37.17M,0.65,6666.46,173.36M,-1.46,9153.20,143.05K,1.43,4361.40,695.13M,0.57,2016.98,4.53B,0.11,8060.54,377.70M,-0.71,6955.46,-,-0.41,,,,21262.06,1.10B,0.49,7129.04,1.21M,-0.01,1283.65,4.16B,0.27,4313.44,3.26B,-0.87,5571.40,106.99B,-0.05,18339.00,7.20K,0.16,452.36,8.42K,-0.73
2012-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.38,22.45M,1.41,6765.29,141.83M,-0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6792.53,119.94M,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-16,1860.83,465.05M,-0.53,1591.76,34.08K,-0.41,482.99,476.76K,-2.20,12588.31,197.11M,0.37,1359.88,-,0.48,2853.13,555.84M,0.57,776.28,-,0.88,16.41,-,-8.78,11877.72,160.13M,0.56,55402,3.47M,-1.56,40830.60,188.16M,0.63,6950.53,189.84M,-1.32,5605.59,939.39M,-1.27,3341.52,164.49M,-1.21,2427.32,64.85M,-1.40,319.84,126.83M,-1.51,7588.20,207.28M,-1.39,14855.79,702.13M,-2.02,6508.66,48.76M,-1.00,5137.90,201.56M,-1.91,2300.68,14.51M,-1.01,,,,1027.04,82.32M,-1.09,1383.66,-,-0.19,1376.10,-,-0.40,2367.74,36.73M,-0.17,18416.36,-,-1.72,707.91,574.71M,-1.13,,,,,,,9024.16,199.08K,2.20,4336.80,722.68M,-0.29,2014.72,4.96B,-0.77,8118.15,388.70M,-0.83,6983.80,-,-0.80,,,,21159.01,1.15B,0.24,7130.07,1.42M,-0.19,1280.13,4.21B,0.48,,,,5574.05,121.90B,-1.01,18309.37,7.06K,-0.88,455.67,6.21K,-0.31
2012-11-15,1870.72,450.85M,-1.23,1598.29,30.59K,-1.29,493.84,472.77K,-1.87,12542.38,129.15M,-0.23,1353.33,-,-0.16,2836.94,446.32M,-0.35,769.48,-,-0.48,17.99,-,0.39,11811.38,227.35M,-0.99,,,,40573.66,195.82M,-0.43,7043.42,138.53M,-0.82,5677.75,799.77M,-0.77,3382.40,137.89M,-0.52,2461.77,50.52M,-0.45,324.76,103.81M,-1.79,7695.50,135.77M,0.29,15162.82,575.58M,-0.59,6574.56,39.49M,-1.53,5238.14,171.02M,-0.68,2324.24,13.16M,-0.64,,,,1038.33,77.07M,-1.32,1386.25,-,1.02,1381.58,-,1.06,2371.77,44.78M,0.21,18738.14,-,-1.79,715.97,344.79M,0.38,1181.76,52.82M,-0.63,,,,8829.72,161.31K,1.90,4349.30,869.46M,-0.89,2030.29,5.06B,-1.22,8186.06,320.70M,-1.18,7039.87,-,-1.14,,,,21108.93,1.41B,-1.55,7143.84,1.33M,-0.22,1274.02,6.07B,-0.41,,,,5631.00,133.98B,-0.63,18471.37,6.13K,-0.79,457.08,10.00K,-0.25
2012-11-14,1894.04,533.94M,0.23,1619.19,38.23K,0.53,503.24,477.08K,-2.06,12570.95,162.18M,-1.45,1355.49,-,-1.39,2846.81,481.76M,-1.29,773.20,-,-2.00,17.92,-,7.63,11929.79,192.50M,-1.69,56279,3.61M,-2.10,40750.42,166.50M,-0.80,7101.92,146.56M,-0.94,5722.01,865.46M,-1.11,3400.02,142.42M,-0.89,2472.84,58.18M,-0.81,330.67,65.84M,-1.01,7673.00,215.13M,-0.27,15252.93,768.60M,-0.52,6676.96,30.53M,-0.68,5273.90,137.77M,-0.46,2339.23,14.84M,-0.86,,,,1052.22,86.12M,-0.07,1372.19,-,-0.12,1367.15,-,0.26,2366.77,51.10M,0.53,19078.73,-,0.55,713.26,452.52M,-0.96,1189.22,28.30M,-0.93,6816.93,139.56M,-0.16,8664.73,81.00K,0.04,4388.40,619.53M,0.20,2055.42,4.81B,0.37,8283.56,324.20M,0.59,7121.08,-,0.40,,,,21441.99,1.30B,1.20,7159.75,1.29M,0.33,1279.29,5.92B,-0.76,4351.28,3.84B,0.44,,,,,,,458.21,9.40K,0.69
2012-11-13,1889.70,494.88M,-0.59,1610.71,28.08K,-0.40,513.80,489.55K,-1.46,12756.18,142.20M,-0.46,1374.53,-,-0.40,2883.89,417.56M,-0.70,789.01,-,-0.60,16.65,-,-0.18,12134.66,136.35M,-0.47,57486,3.36M,0.74,41078.50,235.63M,0.54,7169.12,185.56M,0.01,5786.25,950.28M,0.33,3430.60,134.34M,0.56,2493.14,77.77M,0.79,334.04,73.53M,0.51,7693.40,179.05M,1.66,15333.15,874.36M,1.40,6722.76,34.96M,0.39,5298.49,104.43M,0.08,2359.60,17.69M,0.19,,,,1052.98,76.18M,0.06,1373.83,-,-2.42,1363.63,-,-2.89,2354.30,30.35M,0.83,18974.34,-,-0.10,720.15,460.40M,0.92,1200.33,65.01M,0.08,6828.19,123.89M,-0.02,8661.05,94.86K,-0.18,4379.80,812.51M,-1.53,2047.89,6.11B,-1.51,8234.60,412.20M,-1.87,7092.62,-,-1.53,,,,21188.65,1.35B,-1.13,7136.05,1.70M,-1.81,1289.07,5.13B,-0.42,4332.08,3.70B,0.31,5666.95,16.52B,-0.29,18618.87,2.02K,-0.28,455.08,9.99K,-1.19
2012-11-12,1900.87,473.26M,-0.19,1617.24,25.40K,-0.20,521.43,417.03K,0.29,12815.08,62.36M,-0.00,1380.03,-,0.01,2904.25,297.28M,-0.02,793.76,-,-0.16,16.68,-,-10.37,12191.46,106.61M,-0.04,57064,2.07M,-0.51,40859.90,100.40M,0.45,7168.76,118.85M,0.07,5767.27,654.36M,-0.04,3411.65,105.32M,-0.35,2473.52,38.11M,-0.25,332.33,57.66M,0.12,7567.80,112.77M,-0.90,15121.70,681.41M,-0.39,6696.67,27.92M,-0.28,5294.31,141.48M,-0.25,2355.24,7.79M,-0.06,,,,1052.30,54.78M,0.01,1407.90,-,0.47,1404.26,-,0.46,2335.02,26.06M,0.48,18992.62,-,-0.30,713.57,383.70M,-0.64,1199.41,41.51M,-0.72,6829.53,125.92M,-0.80,8676.44,86.31K,-0.93,4448.00,621.06M,-0.31,2079.27,5.67B,0.49,8391.90,402.00M,0.42,7202.90,-,0.55,,,,21430.30,922.16M,0.21,7267.75,1.52M,-0.35,1294.50,4.61B,0.28,4318.59,2.65B,-0.35,5683.70,92.70B,-0.04,18670.34,19.38K,-0.07,460.56,15.74K,0.73
2012-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208.12,20.95M,-0.28,6884.29,170.96M,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6919.06,145.64M,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-09,1904.41,636.23M,-0.52,1620.50,34.04K,-0.61,519.90,414.58K,0.17,12815.39,131.67M,0.03,1379.85,-,0.17,2904.87,417.31M,0.32,795.02,-,0.17,18.61,-,0.65,12196.80,157.80M,0.05,57358,4.25M,-0.29,40677.07,232.96M,-0.38,7163.50,204.08M,-0.58,5769.68,708.90M,-0.11,3423.57,196.47M,0.47,2479.82,57.36M,0.03,331.93,88.82M,-0.15,7636.60,158.79M,0.16,15181.00,682.68M,-0.09,6715.20,40.70M,0.02,5307.36,119.98M,-0.31,2356.63,11.95M,-0.13,,,,1052.15,72.50M,-0.32,1401.32,-,-0.46,1397.86,-,-0.88,2323.97,28.84M,-0.60,19049.57,-,-0.12,718.20,552.83M,-1.14,,,,,,,8757.60,104.03K,-0.90,4462.00,688.22M,-0.49,2069.07,5.42B,-0.12,8356.67,328.00M,-0.51,7163.56,-,-0.17,,,,21384.38,1.46B,-0.85,7293.22,1.91M,0.70,1290.83,6.22B,-0.22,4333.64,2.74B,0.13,5686.25,98.76B,-0.91,18683.68,9.59K,-0.86,457.23,11.39K,0.32
