date,germany-1_close,germany-1_var,u.s.-1_close,u.s.-1_var,brazil-1_close,brazil-1_var,switzerland-1_close,switzerland-1_var,uk-1_close,uk-1_var,italy-1_close,italy-1_var,japan-1_close,japan-1_var,china-1_close,china-1_var,canada-1_close,canada-1_var,france-1_close,france-1_var,south-korea-1_close,south-korea-1_var,australia-1_close,australia-1_var,germany-10_close,germany-10_var,u.s.-10_close,u.s.-10_var,brazil-10_close,brazil-10_var,switzerland-10_close,switzerland-10_var,uk-10_close,uk-10_var,italy-10_close,italy-10_var,japan-10_close,japan-10_var,china-10_close,china-10_var,canada-10_close,canada-10_var,france-10_close,france-10_var,south-korea-10_close,south-korea-10_var,australia-10_close,australia-10_var
2018-01-10,-0.635,-0.31,1.7800,-0.28,6.855,0.81,-0.740,1.37,0.4840,0.83,-0.453,0.22,-0.133,-3.62,3.582,1.10,1.560,-4.00,-0.547,2.82,1.814,1.34,1.715,0.00,0.4730,1.50,2.559,0.29,9.990,-0.40,-0.048,-36.00,1.2880,0.31,2.038,0.49,0.085,30.77,3.930,0.26,2.163,-1.90,0.825,2.23,2.638,2.89,2.703,2.00
2018-01-09,-0.637,-1.24,1.7850,-0.11,6.800,0.07,-0.730,0.00,0.4800,9.34,-0.452,-5.64,-0.138,-1.43,3.543,-0.11,1.625,2.20,-0.532,-2.39,1.790,0.06,1.715,0.12,0.4660,7.37,2.551,2.87,10.030,0.15,-0.075,-20.21,1.2840,3.72,2.028,2.58,0.065,12.07,3.920,-0.10,2.205,2.27,0.807,3.33,2.564,0.87,2.650,1.18
2018-01-08,-0.645,-0.31,1.7870,-0.75,6.795,0.30,-0.730,2.82,0.4390,0.23,-0.479,-1.44,-0.140,-0.71,3.547,-1.28,1.590,0.63,-0.545,-5.87,1.789,0.51,1.713,0.18,0.4340,-1.36,2.480,0.15,10.015,-0.69,-0.094,-3.09,1.2380,-0.72,1.977,-0.85,0.058,-1.69,3.924,-0.28,2.156,0.00,0.781,-2.74,2.542,1.07,2.619,-0.57
2018-01-07,,,1.8005,-0.14,,,-0.710,2.90,0.4380,1.39,,,,,,,,,,,,,1.710,0.41,,,2.476,0.00,,,,,,,,,,,,,,,,,,,2.634,-0.34
2018-01-06,,,,,,,,,,,,,,,,,,,,,1.780,-0.06,,,,,,,,,,,,,,,,,,,2.156,0.00,,,2.515,-0.16,2.643,0.53
2018-01-05,-0.647,-1.07,1.8030,-0.17,6.775,0.44,-0.690,-2.82,0.4320,4.60,-0.486,2.32,-0.141,0.71,3.593,-2.23,1.580,3.27,-0.579,-0.34,1.781,-1.06,1.703,-5.39,0.4400,1.62,2.476,0.97,10.085,0.40,-0.097,3.19,1.2470,0.97,1.994,-0.85,0.059,9.26,3.935,-0.08,2.156,3.55,0.803,1.26,2.519,-0.16,2.629,-1.31
2018-01-04,-0.654,-4.11,1.8060,-0.44,6.745,-0.37,-0.710,-1.39,0.4130,4.29,-0.475,5.32,-0.140,0.72,3.675,-0.22,1.530,0.66,-0.581,0.52,1.800,0.45,1.800,-1.37,0.4330,-1.37,2.453,0.30,10.045,0.05,-0.094,-9.62,1.2350,1.65,2.011,-2.76,0.054,10.20,3.938,0.46,2.082,1.51,0.793,-0.75,2.523,0.60,2.664,-1.11
2018-01-03,-0.682,4.44,1.8140,1.00,6.770,1.35,-0.720,-5.26,0.3960,-6.38,-0.451,0.22,-0.139,0.00,3.683,-1.92,1.520,-0.33,-0.578,-0.34,1.792,-1.32,1.825,-0.92,0.4390,-5.39,2.445,-0.66,10.040,-0.40,-0.104,18.18,1.2150,-5.67,2.068,-1.48,0.049,-2.00,3.920,0.05,2.051,-1.44,0.799,-2.32,2.508,0.80,2.694,1.20
2018-01-02,-0.653,-8.67,1.7960,3.25,6.680,-0.89,-0.760,10.14,0.4230,7.09,,,,,3.755,-1.26,1.525,-0.33,-0.580,-8.37,1.816,-1.84,1.842,0.49,0.4640,8.92,2.461,2.33,10.080,-1.27,-0.088,27.54,1.2880,8.05,2.099,5.06,,,3.918,0.08,2.081,1.91,0.818,3.02,2.488,0.85,2.662,0.23
2018-01-01,-0.715,-0.14,1.7394,0.14,,,-0.690,-4.17,0.3950,11.27,,,,,,,1.530,0.33,,,,,1.833,0.88,0.4260,-0.23,2.405,0.00,,,,,1.1920,0.34,,,,,,,,,0.794,1.28,,,2.656,0.64
